,Valor
0,9999999.0
1,2717.735067724632
2,3126.873779512426
3,3126.873779512426
4,3298.5054677863964
5,3449.867384891664
6,3491.640725080396
7,3491.640725080396
8,3369.641614000882
9,3369.641614000882
10,9999999.0
11,2204.9760947183267
12,2666.9363609631964
13,2666.9363609631964
14,2838.568049237167
15,2989.9299663424345
16,3031.703306531166
17,3031.703306531166
18,2875.135792629845
19,2875.135792629845
20,9999999.0
21,2908.508168770515
22,3323.051757094685
23,3323.051757094685
24,3494.683445368655
25,3646.045362473923
26,3687.8187026626547
27,3687.8187026626547
28,3565.8195915831407
29,3565.8195915831407
30,9999999.0
31,2776.7143657164984
32,3185.8530775042927
33,3185.8530775042927
34,3357.484765778263
35,3508.846682883531
36,3550.6200230722625
37,3550.6200230722625
38,3428.6209119927485
39,3428.6209119927485
40,9999999.0
41,2593.1046371547973
42,3055.064903399667
43,3055.064903399667
44,3226.6965916736376
45,3378.058508778905
46,3419.8318489676367
47,3419.8318489676367
48,3263.2643350663157
49,3263.2643350663157
50,9999999.0
51,2769.255102530087
52,3178.393814317881
53,3178.393814317881
54,3350.0255025918514
55,3501.387419697119
56,3543.160759885851
57,3543.160759885851
58,3421.161648806337
59,3421.161648806337
60,9999999.0
61,2913.785114814387
62,3322.923826602181
63,3322.923826602181
64,3494.5555148761514
65,3645.917431981419
66,3687.690772170151
67,3687.690772170151
68,3565.691661090637
69,3565.691661090637
70,9999999.0
71,2204.9760947183267
72,2666.9363609631964
73,2666.9363609631964
74,2838.568049237167
75,2989.9299663424345
76,3031.703306531166
77,3031.703306531166
78,2875.135792629845
79,2875.135792629845
80,9999999.0
81,2474.4564863185183
82,2883.5951981063126
83,2883.5951981063126
84,3055.226886380283
85,3206.5888034855507
86,3248.3621436742824
87,3248.3621436742824
88,3126.3630325947684
89,3126.3630325947684
90,9999999.0
91,2307.5434036099387
92,2716.6821153977326
93,2716.6821153977326
94,2888.313803671703
95,3039.6757207769706
96,3081.4490609657023
97,3081.4490609657023
98,2959.4499498861887
99,2959.4499498861887
100,9999999.0
101,2544.1207981944367
102,2953.259509982231
103,2953.259509982231
104,3124.8911982562013
105,3276.253115361469
106,3318.026455550201
107,3318.026455550201
108,3196.027344470687
109,3196.027344470687
110,9999999.0
111,2127.809473631624
112,2536.948185419418
113,2536.948185419418
114,2708.579873693389
115,2859.9417907986563
116,2901.715130987388
117,2901.715130987388
118,2779.7160199078744
119,2779.7160199078744
120,9999999.0
121,2306.433328184607
122,2715.5720399724014
123,2715.5720399724014
124,2887.2037282463716
125,3038.5656453516394
126,3080.338985540371
127,3080.338985540371
128,2958.339874460857
129,2958.339874460857
130,9999999.0
131,2004.9018358054993
132,2414.040547593293
133,2414.040547593293
134,2585.6722358672637
135,2737.034152972531
136,2778.8074931612628
137,2778.8074931612628
138,2656.808382081749
139,2656.808382081749
140,9999999.0
141,2832.651306140742
142,3241.790017928536
143,3241.790017928536
144,3413.4217062025064
145,3564.783623307774
146,3606.556963496506
147,3606.556963496506
148,3484.557852416992
149,3484.557852416992
150,9999999.0
151,2306.433328184607
152,2715.5720399724014
153,2715.5720399724014
154,2887.2037282463716
155,3038.5656453516394
156,3080.338985540371
157,3080.338985540371
158,2958.339874460857
159,2958.339874460857
160,9999999.0
161,2244.416058233595
162,2653.5547700213883
163,2653.5547700213883
164,2825.186458295359
165,2976.5483754006264
166,3018.321715589358
167,3018.321715589358
168,2896.3226045098445
169,2896.3226045098445
170,9999999.0
171,2036.0886864622842
172,2445.2273982500783
173,2445.2273982500783
174,2616.859086524049
175,2768.2210036293163
176,2809.994343818048
177,2809.994343818048
178,2687.9952327385345
179,2687.9952327385345
180,9999999.0
181,2188.343410144212
182,2597.4821219320065
183,2597.4821219320065
184,2769.113810205977
185,2920.4757273112446
186,2962.2490674999763
187,2962.2490674999763
188,2840.2499564204627
189,2840.2499564204627
190,9999999.0
191,2183.848449211787
192,2592.9871609995807
193,2592.9871609995807
194,2764.6188492735514
195,2915.9807663788188
196,2957.7541065675505
197,2957.7541065675505
198,2835.754995488037
199,2835.754995488037
200,9999999.0
201,2036.0886864622842
202,2445.2273982500783
203,2445.2273982500783
204,2616.859086524049
205,2768.2210036293163
206,2809.994343818048
207,2809.994343818048
208,2687.9952327385345
209,2687.9952327385345
210,9999999.0
211,2607.916947977708
212,3017.0556597655022
213,3017.0556597655022
214,3188.6873480394725
215,3340.0492651447403
216,3381.822605333472
217,3381.822605333472
218,3259.823494253958
219,3259.823494253958
220,9999999.0
221,2832.651306140742
222,3241.790017928536
223,3241.790017928536
224,3413.4217062025064
225,3564.783623307774
226,3606.556963496506
227,3606.556963496506
228,3484.557852416992
229,3484.557852416992
230,9999999.0
231,2666.105349463863
232,3075.2440612516575
233,3075.2440612516575
234,3246.8757495256277
235,3398.2376666308955
236,3440.0110068196273
237,3440.0110068196273
238,3318.0118957401132
239,3318.0118957401132
240,9999999.0
241,2217.2126866172384
242,2626.3513984050323
243,2626.3513984050323
244,2797.983086679003
245,2949.3450037842704
246,2991.118343973002
247,2991.118343973002
248,2869.1192328934885
249,2869.1192328934885
250,9999999.0
251,2490.5093251683866
252,2899.6480369561805
253,2899.6480369561805
254,3071.279725230151
255,3222.6416423354185
256,3264.41498252415
257,3264.41498252415
258,3142.4158714446367
259,3142.4158714446367
260,9999999.0
261,2617.19038450014
262,3026.3290962879346
